timestamp,session_id,total_cost_usd,last_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,model_id,model_display_name,duration_ms,api_duration_ms,lines_added,lines_removed,rl_5h_pct,rl_7d_pct,context_pct,context_window_size,turns,tool_calls,start_epoch,facets_json
"2026-06-28 14:32:54","1e94b5a0-ffe7-445c-97ea-643701e57ed6","190.64709499999995","","0","0","0","0","","","7471764","3215954","2116","584","0","0","","","3","0","","{""cwd"":""C:\\Users\\user""}"
"2026-06-28 12:25:49","67f7eddb-6b08-4cfe-8046-bad6bd3b5d1d","190.64709499999995","glm-5.2","18884489","96238","0","0","","","7471039","3215954","2116","584","0","0","","","5","94","","{""tools"":{""Bash"":29,""Read"":12,""EnterPlanMode"":1,""Agent"":2,""AskUserQuestion"":1,""Write"":15,""ExitPlanMode"":3,""Edit"":8,""TaskCreate"":6,""TaskUpdate"":12,""PowerShell"":5},""agents"":{""Explore"":2},""tool_errors"":11,""cwd"":""C:\\Users\\user\\.agents\\evals""}"
"2026-06-28 11:39:06","419dcadc-9ad8-4b30-8ded-7d9cdf78e739","139.76470500000005","glm-5.2","50249308","312647","0","0","","","4667381","2247841","1149","530","0","0","","","13","263","","{""tools"":{""Bash"":98,""Read"":53,""Skill"":2,""Edit"":54,""mcp__agent-browser__agent_browser_open"":4,""AskUserQuestion"":2,""EnterPlanMode"":2,""Agent"":2,""Write"":5,""ExitPlanMode"":3,""TaskCreate"":13,""TaskUpdate"":23,""WebSearch"":2},""agents"":{""Explore"":1,""Plan"":1},""skills"":{""claude-code-usage-report-suggestions"":1,""frontend-design"":1},""tool_errors"":12,""compactions"":2,""cwd"":""C:\\Users\\user\\.agents\\skills\\claude-code-usage-report\\scripts""}"
"2026-06-28 08:32:50","c704fcd6-6aa4-46c9-af75-8ea661dd4e35","85.31903","glm-5.2","9419215","97615","0","0","","","35706111","0","0","0","0","0","","","7","36","","{""tools"":{""Read"":10,""Glob"":2,""Workflow"":3,""Edit"":15,""Grep"":1,""AskUserQuestion"":1,""Write"":1,""Bash"":3},""tool_errors"":1,""cwd"":""C:\\Users\\user\\wiki""}"
"2026-06-17 10:58:29","055f7f19-e1ad-4959-9d46-f19bc00c7956","72.778055","glm-5.1","9809642","28636","0","0","","","73030894","0","0","0","0","0","","","9","80","","{""tools"":{""EnterPlanMode"":1,""Agent"":2,""Read"":30,""Glob"":2,""Grep"":11,""mcp__roslyn-navigator__find_symbol"":4,""Write"":4,""ExitPlanMode"":1,""TaskCreate"":4,""TaskUpdate"":8,""Edit"":6,""Bash"":6,""TaskOutput"":1},""agents"":{""Explore"":2},""tool_errors"":4,""cwd"":""C:\\git\\webapp-dev\\.tickets\\fix-tdg\\webapp""}"
"2026-06-22 08:46:19","675f50a3-3ec4-4211-97db-7bdccb9ca8d9","70.821205","","0","0","0","0","","","19513","0","0","0","0","0","","","3","0","","{""cwd"":""C:\\Users\\user\\wiki""}"
"2026-06-21 22:56:07","5e9be7e8-e8c8-4737-b1ab-e8a181ec2085","70.821205","glm-5.2","2856816","33203","0","0","","","3604890","0","0","0","0","0","","","2","26","","{""tools"":{""Glob"":3,""Bash"":1,""AskUserQuestion"":3,""Read"":6,""Agent"":8,""Edit"":5},""agents"":{""general-purpose"":8},""cwd"":""C:\\Users\\user\\wiki""}"
"2026-06-28 21:03:11","d16bbbc8-7966-4eb5-a6d0-ae01d5ea7a78","64.80192500000001","claude-opus-4-8","42676854","367675","52363770","374591","","","17522157","1010506","716","92","0","0","","","40","351","","{""tools"":{""Bash"":167,""Read"":40,""AskUserQuestion"":7,""Write"":9,""ExitPlanMode"":1,""TaskCreate"":8,""TaskUpdate"":16,""Edit"":82,""mcp__lean-ctx__ctx_edit"":12,""PowerShell"":9},""tool_errors"":19,""compactions"":1,""cwd"":""C:\\Users\\user\\.agents\\skills\\audit-skill-portability""}"
"2026-06-25 16:19:35","0c0b08cb-e7f6-44cc-a7a2-7f690e85cd5d","60.522","glm-5.2","24617618","70659","0","0","","","21850622","0","0","0","0","0","","","4","133","","{""tools"":{""mcp__lean-ctx__ctx_tree"":2,""Bash"":22,""mcp__lean-ctx__ctx_read"":6,""TaskCreate"":3,""TaskUpdate"":6,""Agent"":8,""Edit"":47,""mcp__lean-ctx__ctx_edit"":17,""Read"":21,""Write"":1},""agents"":{""Explore"":8},""tool_errors"":7,""compactions"":1,""cwd"":""C:\\Users\\user\\wiki""}"
"2026-06-23 23:21:57","3d3cd758-be71-4411-bde8-f3f33a5826ec","56.24361","glm-5.2","21566549","86549","0","0","","","52906667","0","0","0","0","0","","","3","119","","{""tools"":{""Glob"":3,""AskUserQuestion"":4,""Read"":31,""Agent"":4,""Bash"":8,""Write"":53,""Edit"":16},""agents"":{""general-purpose"":4},""tool_errors"":6,""cwd"":""C:\\Users\\user\\wiki\\dotnet""}"
